Key,Item Type,Publication Year,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Status,
LYG8EMRE,conferencePaper,2017,The rise of “big data” on cloud computing: Review and open research issues,Machine Learning Based DDoS Attack Detection from Source Side in Cloud,2017 IEEE 4th International Conference on Cyber Security and Cloud Computing (CSCloud),,,10.1109/CSCloud.2017.58,,"Denial of service (DOS) attacks are a serious threat to network security. These attacks are often sourced from virtual machines in the cloud, rather than from the attacker's own machine, to achieve anonymity and higher network bandwidth. Past research focused on analyzing traffic on the destination (victim's) side with predefined thresholds. These approaches have significant disadvantages. They are only passive defenses after the attack, they cannot use the outbound statistical features of attacks, and it is hard to trace back to the attacker with these approaches. In this paper, we propose a DOS attack detection system on the source side in the cloud, based on machine learning techniques. This system leverages statistical information from both the cloud server's hypervisor and the virtual machines, to prevent network packages from being sent out to the outside network. We evaluate nine machine learning algorithms and carefully compare their performance. Our experimental results show that more than 99.7% of four kinds of DOS attacks are successfully detected. Our approach does not degrade performance and can be easily extended to broader DOS attacks.",2017-06,2019-07-12 5:50:01,2019-07-12 5:50:01,,114-120,,,,,,,,,,,,,,,,Google Scholar,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\B3GTKVSW\7910612.html,,,Classification algorithms; cloud computing; learning (artificial intelligence); machine learning; Cloud computing; Computational modeling; Computer crime; Adaptation models; cloud virtual networks; computer network security; data mining; Data mining; DDoS detection model; distributed denial-of-service attack; false detection minimization; Heuristic algorithms; legitimate user possibility reduction; minimisation; Netflow protocol; relearning; relearning pool; self-learning; self-learning method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus),,,,,,,,,,,,,,Rejeitado,Fora do Escopo
QT5Z8DPZ,,,Proactive dynamic virtual-machine consolidation for energy conservation in cloud data centres,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
ARXBSBHJ,2016,"Gai, Keke; Qiu, Meikang; Tao, Lixin; Zhu, Yongxin",Intrusion detection techniques for mobile cloud computing in heterogeneous 5G,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
H33MS2AI,conferencePaper,2018,Towards mitigating uncertainty of data security breaches and collusion in cloud computing,Securing Virtual Infrstructure in Cloud Computing using Big Data Analytics,"2018 International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)",,,,,,2018,2019-07-12 5:46:52,2019-07-12 5:46:52,,569–573,,,,,,,,,,,IEEE,,,,,Google Scholar,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
FJE24ZBL,conferencePaper,2019,CCSW'16: 8th ACM Cloud Computing Security Workshop,Analysis and Detection of DDoS Attacks on Cloud Computing Environment using Machine Learning Techniques,2019 Amity International Conference on Artificial Intelligence (AICAI),,,10.1109/AICAI.2019.8701238,,"The primary benefit of the cloud is that it elastically scales to meet variable demand and it provides the environment which scales up and scales down instantly according to the demand, so it needs great protection from DDoS attacks to tackle downtime effects of DDoS Attacks. Distribute Denial of Service attacks fall on the category of critical attacks that compromise the availability of the network. These attacks have become sophisticated and continue to grow at a rapid pace so to detect and counter these attacks have become a challenging task. This work was carried out on the owncloud environment using Tor Hammer as an attacking tool and a new dataset was generated with Intrusion Detection System. This work incorporates various machine learning algorithms: Support Vector Machine, Naive Bayes, and Random Forest for classification and overall accuracy was 99.7%, 97.6% and 98.0% of Support Vector Machine, Random Forest and Naive Bayes respectively.",2019-02,2019-07-19 1:37:50,2019-07-19 1:37:50,,870-875,,,,,,,,,,,,,,,,ACM Digital Library,,IEEE Xplore,,,,C:\Users\mathe\Zotero\storage\89TPUAGI\8323930.html,,,Cloud computing; Machine Learning; Intrusion detection; Training; Artificial neural networks; Intrusion Detection System; MCPS; Neural Networks; Probes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 20th International Conference on Advanced Communication Technology (ICACT),,,,,,,,,,,,,,Rejeitado,Não Artigo
KBPR2XB7,journalArticle,2016,Intrusion detection for cloud computing using neural networks and artificial bee colony optimization algorithm,MDA: message digest-based authentication for mobile cloud computing,Journal of Cloud Computing,,2192-113X,10.1186/s13677-016-0068-6,https://doi.org/10.1186/s13677-016-0068-6,"The emerging area of mobile cloud computing will influence the future of varied applications, such as electronic commerce and health informatics. It is expected to rise in popularity over other models in cloud computing. This is facilitated by its simplicity, accessibility and ease of use. With mobile cloud computing, resource-constrained mobile devices could capitalize on the computation/storage resources of cloud servers via communication networks. Despite the advantage of this innovative computing model, mobile devices in mobile cloud computing are open to more security risks because they often have to access cloud servers through untrusted networks from different locations. Therefore, security is a critical problem to be tackled in mobile cloud computing. One of the most important aspects of mobile cloud computing security is to establish authenticated communication sessions between mobile devices and cloud servers. In this paper, we present a novel authentication scheme, Message Digest-based Authentication (MDA). Technically, MDA strategically incorporates hashing, in addition to traditional user ID and passwords, to achieve mutual authentication. The effectiveness of MDA is validated with Scyther, a widely-used security protocol analyzer. Our experimental results indicate that MDA is capable of withstanding a variety of different security attacks, such as man-in-the-middle, replay attacks, etc.",2016-11-10,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:44,18,,1,5,,J Cloud Comp,MDA,,,,,,,en,,,ScienceDirect,,Springer Link,,,,C:\Users\mathe\Zotero\storage\X4JMJAJG\Irain et al. - 2017 - Landmark-based data location verification in the c.pdf,,,Cloud computing; Cloud storage; Data location verification; Landmark-based approaches; Security attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
E44AQKEG,,,Fog computing security: a review of current applications and security solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possível Reanálise,Valido
76SHWJ3I,journalArticle,2018,The Performance Analysis of Honeypot Based Intrusion Detection System for Wireless Network,"Analyzing the availability and performance of an e-health system integrated with edge, fog and cloud infrastructures",Journal of Cloud Computing,,2192-113X,10.1186/s13677-018-0118-3,https://doi.org/10.1186/s13677-018-0118-3,"The Internet of Things has the potential of transforming health systems through the collection and analysis of patient physiological data via wearable devices and sensor networks. Such systems can offer assisted living services in real-time and offer a range of multimedia-based health services. However, service downtime, particularly in the case of emergencies, can lead to adverse outcomes and in the worst case, death. In this paper, we propose an e-health monitoring architecture based on sensors that relies on cloud and fog infrastructures to handle and store patient data. Furthermore, we propose stochastic models to analyze availability and performance of such systems including models to understand how failures across the Cloud-to-Thing continuum impact on e-health system availability and to identify potential bottlenecks. To feed our models with real data, we design and build a prototype and execute performance experiments. Our results identify that the sensors and fog devices are the components that have the most significant impact on the availability of the e-health monitoring system, as a whole, in the scenarios analyzed. Our findings suggest that in order to identify the best architecture to host the e-health monitoring system, there is a trade-off between performance and delays that must be resolved.",2018-09-18,2019-07-12 5:22:45,2019-07-12 5:22:45,2019-07-12 5:22:45,16,,1,7,,J Cloud Comp,,,,,,,,en,,,Springer Link,,Springer Link,,,,C:\Users\mathe\Zotero\storage\PVEGZE5F\Hummaida et al. - 2016 - Adaptation in cloud resource configuration a surv.pdf,,,Elasticity; Autonomic cloud; Cloud adaptation; Resource management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Fora do Escopo
MXUE2YFR,,,Cloud computing threats classification model based on the detection feasibility of machine learning algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aceito,Valido
QHCZULHV,journalArticle,2017,Towards Highly Secure Yet Efficient KNN Classification Scheme on Outsourced Cloud Data,XSSClassifier: An Efficient XSS Attack Detection Approach Based on Machine Learning Classifier on SNSs.,Journal of Information Processing Systems,,,,,,2017,2019-07-12 5:44:33,2019-07-12 5:44:33,,,,4,13,,,XSSClassifier,,,,,,,,,,IEEE Xplore,,Google Scholar,,,,C:\Users\mathe\Zotero\storage\RZMURQ2V\s10586-018-1841-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejeitado,Valido
