ano,genero,total_paper
2000,M,6872
2000,F,1386
2000,N/A,567
2001,N/A,713
2001,F,1662
2001,M,7867
2002,M,8092
2002,F,1726
2002,N/A,669
2003,F,2211
2003,M,9772
2003,N/A,873
2004,M,10973
2004,F,2525
2004,N/A,983
2005,N/A,1279
2005,F,3266
2005,M,13979
2006,F,3420
2006,M,13765
2006,N/A,1352
2007,M,16288
2007,N/A,1593
2007,F,3819
2008,M,16241
2008,N/A,1439
2008,F,3953
2009,M,16765
2009,F,4229
2009,N/A,1696
2010,M,17190
2010,F,4543
2010,N/A,1522
2011,F,5411
2011,M,19983
2011,N/A,1912
2012,M,19580
2012,F,5406
2012,N/A,1871
2013,M,24204
2013,F,6916
2013,N/A,2303
2014,N/A,2202
2014,F,6560
2014,M,22682
2015,F,7686
2015,M,27404
2015,N/A,2573
2016,F,7713
2016,M,25121
2016,N/A,2529
