ano,etnia,genero,subarea,quantidade_subarea,total_paper
2000,Africans,F,"Computer Science",14,23
2000,Africans,M,"Computer Science",90,168
2000,Africans,N/A,"Computer Science",4,6
2000,British,F,"Computer Science",261,323
2000,British,M,"Computer Science",1126,1605
2000,British,N/A,"Computer Science",57,77
2000,EastEuropean,F,"Computer Science",47,72
2000,EastEuropean,M,"Computer Science",209,389
2000,EastEuropean,N/A,"Computer Science",3,6
2000,GreaterEastAsian,F,"Computer Science",228,287
2000,GreaterEastAsian,M,"Computer Science",636,876
2000,GreaterEastAsian,N/A,"Computer Science",212,294
2000,IndianSubContinent,F,"Computer Science",83,110
2000,IndianSubContinent,M,"Computer Science",548,762
2000,IndianSubContinent,N/A,"Computer Science",77,117
2000,Jewish,F,"Computer Science",143,204
2000,Jewish,M,"Computer Science",696,1089
2000,Jewish,N/A,"Computer Science",8,13
2000,Muslim,F,"Computer Science",18,41
2000,Muslim,M,"Computer Science",182,284
2000,Muslim,N/A,"Computer Science",18,20
2000,WestEuropean,F,"Computer Science",172,326
2000,WestEuropean,M,"Computer Science",905,1699
2000,WestEuropean,N/A,"Computer Science",28,34
2001,Africans,F,"Computer Science",11,19
2001,Africans,M,"Computer Science",118,210
2001,Africans,N/A,"Computer Science",13,14
2001,British,F,"Computer Science",287,380
2001,British,M,"Computer Science",1128,1679
2001,British,N/A,"Computer Science",56,78
2001,EastEuropean,F,"Computer Science",58,91
2001,EastEuropean,M,"Computer Science",238,472
2001,EastEuropean,N/A,"Computer Science",2,5
2001,GreaterEastAsian,F,"Computer Science",265,371
2001,GreaterEastAsian,M,"Computer Science",782,1149
2001,GreaterEastAsian,N/A,"Computer Science",292,431
2001,IndianSubContinent,F,"Computer Science",110,148
2001,IndianSubContinent,M,"Computer Science",587,847
2001,IndianSubContinent,N/A,"Computer Science",71,107
2001,Jewish,F,"Computer Science",146,206
2001,Jewish,M,"Computer Science",769,1241
2001,Jewish,N/A,"Computer Science",5,12
2001,Muslim,F,"Computer Science",40,65
2001,Muslim,M,"Computer Science",224,343
2001,Muslim,N/A,"Computer Science",12,18
2001,WestEuropean,F,"Computer Science",219,382
2001,WestEuropean,M,"Computer Science",1077,1926
2001,WestEuropean,N/A,"Computer Science",33,48
2002,Africans,F,"Computer Science",18,28
2002,Africans,M,"Computer Science",104,190
2002,Africans,N/A,"Computer Science",9,10
2002,British,F,"Computer Science",243,341
2002,British,M,"Computer Science",1158,1748
2002,British,N/A,"Computer Science",58,90
2002,EastEuropean,F,"Computer Science",48,95
2002,EastEuropean,M,"Computer Science",235,519
2002,EastEuropean,N/A,"Computer Science",7,10
2002,GreaterEastAsian,F,"Computer Science",287,409
2002,GreaterEastAsian,M,"Computer Science",699,1128
2002,GreaterEastAsian,N/A,"Computer Science",232,360
2002,IndianSubContinent,F,"Computer Science",110,164
2002,IndianSubContinent,M,"Computer Science",609,946
2002,IndianSubContinent,N/A,"Computer Science",87,123
2002,Jewish,F,"Computer Science",155,239
2002,Jewish,M,"Computer Science",694,1239
2002,Jewish,N/A,"Computer Science",16,23
2002,Muslim,F,"Computer Science",41,65
2002,Muslim,M,"Computer Science",202,373
2002,Muslim,N/A,"Computer Science",8,15
2002,WestEuropean,F,"Computer Science",176,385
2002,WestEuropean,M,"Computer Science",856,1949
2002,WestEuropean,N/A,"Computer Science",28,38
2003,Africans,F,"Computer Science",30,47
2003,Africans,M,"Computer Science",129,222
2003,Africans,N/A,"Computer Science",5,6
2003,British,F,"Computer Science",286,389
2003,British,M,"Computer Science",1412,2015
2003,British,N/A,"Computer Science",61,85
2003,EastEuropean,F,"Computer Science",90,136
2003,EastEuropean,M,"Computer Science",325,612
2003,EastEuropean,N/A,"Computer Science",9,10
2003,GreaterEastAsian,F,"Computer Science",467,625
2003,GreaterEastAsian,M,"Computer Science",1225,1644
2003,GreaterEastAsian,N/A,"Computer Science",382,529
2003,IndianSubContinent,F,"Computer Science",147,205
2003,IndianSubContinent,M,"Computer Science",796,1188
2003,IndianSubContinent,N/A,"Computer Science",92,153
2003,Jewish,F,"Computer Science",171,252
2003,Jewish,M,"Computer Science",923,1400
2003,Jewish,N/A,"Computer Science",13,18
2003,Muslim,F,"Computer Science",69,95
2003,Muslim,M,"Computer Science",278,429
2003,Muslim,N/A,"Computer Science",16,26
2003,WestEuropean,F,"Computer Science",270,462
2003,WestEuropean,M,"Computer Science",1309,2262
2003,WestEuropean,N/A,"Computer Science",30,46
2004,Africans,F,"Computer Science",27,46
2004,Africans,M,"Computer Science",141,267
2004,Africans,N/A,"Computer Science",7,14
2004,British,F,"Computer Science",308,449
2004,British,M,"Computer Science",1518,2229
2004,British,N/A,"Computer Science",56,77
2004,EastEuropean,F,"Computer Science",74,126
2004,EastEuropean,M,"Computer Science",332,677
2004,EastEuropean,N/A,"Computer Science",4,6
2004,GreaterEastAsian,F,"Computer Science",559,856
2004,GreaterEastAsian,M,"Computer Science",1208,1880
2004,GreaterEastAsian,N/A,"Computer Science",394,637
2004,IndianSubContinent,F,"Computer Science",152,208
2004,IndianSubContinent,M,"Computer Science",935,1387
2004,IndianSubContinent,N/A,"Computer Science",93,156
2004,Jewish,F,"Computer Science",161,263
2004,Jewish,M,"Computer Science",911,1539
2004,Jewish,N/A,"Computer Science",9,14
2004,Muslim,F,"Computer Science",59,114
2004,Muslim,M,"Computer Science",276,499
2004,Muslim,N/A,"Computer Science",14,27
2004,WestEuropean,F,"Computer Science",221,463
2004,WestEuropean,M,"Computer Science",1234,2495
2004,WestEuropean,N/A,"Computer Science",28,52
2005,Africans,F,"Computer Science",45,62
2005,Africans,M,"Computer Science",196,329
2005,Africans,N/A,"Computer Science",12,19
2005,British,F,"Computer Science",425,561
2005,British,M,"Computer Science",2018,2796
2005,British,N/A,"Computer Science",79,109
2005,EastEuropean,F,"Computer Science",128,176
2005,EastEuropean,M,"Computer Science",506,889
2005,EastEuropean,N/A,"Computer Science",1,4
2005,GreaterEastAsian,F,"Computer Science",815,1127
2005,GreaterEastAsian,M,"Computer Science",1868,2763
2005,GreaterEastAsian,N/A,"Computer Science",547,824
2005,IndianSubContinent,F,"Computer Science",195,268
2005,IndianSubContinent,M,"Computer Science",1118,1535
2005,IndianSubContinent,N/A,"Computer Science",141,190
2005,Jewish,F,"Computer Science",211,321
2005,Jewish,M,"Computer Science",1211,1872
2005,Jewish,N/A,"Computer Science",20,33
2005,Muslim,F,"Computer Science",94,139
2005,Muslim,M,"Computer Science",432,639
2005,Muslim,N/A,"Computer Science",25,35
2005,WestEuropean,F,"Computer Science",368,612
2005,WestEuropean,M,"Computer Science",1950,3156
2005,WestEuropean,N/A,"Computer Science",47,65
2006,Africans,F,"Computer Science",57,79
2006,Africans,M,"Computer Science",194,351
2006,Africans,N/A,"Computer Science",16,21
2006,British,F,"Computer Science",433,567
2006,British,M,"Computer Science",2002,2760
2006,British,N/A,"Computer Science",87,118
2006,EastEuropean,F,"Computer Science",113,160
2006,EastEuropean,M,"Computer Science",480,848
2006,EastEuropean,N/A,"Computer Science",6,12
2006,GreaterEastAsian,F,"Computer Science",846,1152
2006,GreaterEastAsian,M,"Computer Science",1904,2604
2006,GreaterEastAsian,N/A,"Computer Science",613,858
2006,IndianSubContinent,F,"Computer Science",211,283
2006,IndianSubContinent,M,"Computer Science",1058,1556
2006,IndianSubContinent,N/A,"Computer Science",135,199
2006,Jewish,F,"Computer Science",252,374
2006,Jewish,M,"Computer Science",1222,1917
2006,Jewish,N/A,"Computer Science",26,35
2006,Muslim,F,"Computer Science",105,164
2006,Muslim,M,"Computer Science",441,686
2006,Muslim,N/A,"Computer Science",23,35
2006,WestEuropean,F,"Computer Science",366,641
2006,WestEuropean,M,"Computer Science",1713,3043
2006,WestEuropean,N/A,"Computer Science",47,74
2007,Africans,F,"Computer Science",65,93
