SG_UF,DS_GASTO_NIVEL1,total
AC,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,82094.2
AC,OUTRAS DESPESAS GERAIS,79144.99
AC,OUTROS ORDINÁRIAS,21717
AL,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,33500
AL,OUTRAS DESPESAS GERAIS,35059.27
AL,OUTROS ORDINÁRIAS,4333.1900000000005
AM,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,6150
AM,OUTRAS DESPESAS GERAIS,245642.99
AM,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,260
AM,OUTROS ORDINÁRIAS,2461.1
AP,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,4119.8
AP,OUTRAS DESPESAS GERAIS,49993.48
AP,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,8145.9
AP,OUTROS ORDINÁRIAS,8.5
BA,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,108711.8
BA,OUTRAS DESPESAS GERAIS,379588.4
BA,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,2700
BA,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,30815.4
BA,OUTROS MULHERES,1148.52
BA,OUTROS ORDINÁRIAS,63046.049999999996
BR,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,16413434.99
BR,OUTRAS DESPESAS GERAIS,1224086.46
BR,OUTRAS DESPESAS PARA PARTICIPAÇÃO DA MULHER NA POLÍTICA,1396990.27
BR,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO,900387.68
BR,OUTROS MULHERES,263103.18
BR,OUTROS ORDINÁRIAS,59657.270000000004
CE,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA,167987
CE,OUTRAS DESPESAS GERAIS,260633.57
